Class Name;ShovelPower;QuarryPower;HackPower
CraftingTableBlock;1;0.5;0
FurnaceBlock;1;0.5;0
LitFurnaceBlock;1;0.5;0
ChestBlock;1;0.5;0
DispenserBlock;1;0.5;0
SpikedPlankBlock;1;0.5;0
GrassTrapBlock;1;0.5;0
WoodenFenceBlock;1;0.5;0
WoodenFenceGateBlock;1;0.5;0
IronFenceBlock;1;0.5;0
IronFenceGateBlock;1;0.5;0
StoneFenceBlock;1;0.5;0
BrickFenceBlock;1;0.5;0
BasaltFenceBlock;1;0.5;0
WoodenPostedSignBlock;1;0.5;0
WoodenAttachedSignBlock;1;0.5;0
IronPostedSignBlock;1;0.5;0
IronAttachedSignBlock;1;0.5;0
SmallGunpowderKegBlock;1;0.5;0
MediumGunpowderKegBlock;1;0.5;0
LargeGunpowderKegBlock;1;0.5;0
SmallIncendiaryKegBlock;1;0.5;0
MediumIncendiaryKegBlock;1;0.5;0
LargeIncendiaryKegBlock;1;0.5;0
GravestoneBlock;1;0.5;0
FeatherBlock;1;0.5;0
StringBlock;1;0.5;0
CanvasBlock;1;0.5;0
CarpetBlock;1;0.5;0
CampfireBlock;1;0.5;0
GunpowderBlock;1;0.5;0
PigmentBlock;1;0.5;0
JackOLanternBlock;1;0.5;0
MagnetBlock;1;0.5;0
FurBlock;1;0.5;0
LeatherBlock;1;0.5;0
SaddleBlock;1;0.5;0
ChristmasTreeBlock;1;0.5;0
FurnitureBlock;1;0.5;0
TreasureGeneratorBlock;1;0.5;0
ExperienceBlock;1;0.5;0
EggBlock;1;0.5;0
MatchBlock;1;0.5;0
CompassBlock;1;0.5;0
ThermometerBlock;1;0.5;0
HygrometerBlock;1;0.5;0
ArrowBlock;1;0.5;0
BulletBlock;1;0.5;0
BombBlock;1;0.5;0
IncendiaryBombBlock;1;0.5;0
FireworksBlock;1;0.5;0
FlourBlock;1;0.5;0
DoughBlock;1;0.5;0
RottenDoughBlock;1;0.5;0
BreadBlock;1;0.5;0
RottenBreadBlock;1;0.5;0
RawBirdBlock;1;0.5;0
CookedBirdBlock;1;0.5;0
RottenBirdBlock;1;0.5;0
RawMeatBlock;1;0.5;0
CookedMeatBlock;1;0.5;0
RottenMeatBlock;1;0.5;0
RawFishBlock;1;0.5;0
CookedFishBlock;1;0.5;0
RottenFishBlock;1;0.5;0
RottenEggBlock;1;0.5;0
WireBlock;1;0.5;0
NotGateBlock;1;0.5;0
AndGateBlock;1;0.5;0
OrGateBlock;1;0.5;0
XorGateBlock;1;0.5;0
NandGateBlock;1;0.5;0
NorGateBlock;1;0.5;0
DelayGateBlock;1;0.5;0
AdjustableDelayGateBlock;1;0.5;0
SRLatchBlock;1;0.5;0
CounterBlock;1;0.5;0
MemoryBankBlock;1;0.5;0
TruthTableCircuitBlock;1;0.5;0
RealTimeClockBlock;1;0.5;0
RandomGeneratorBlock;1;0.5;0
DigitalToAnalogConverterBlock;1;0.5;0
AnalogToDigitalConverterBlock;1;0.5;0
SoundGeneratorBlock;1;0.5;0
BatteryBlock;1;0.5;0
LightbulbBlock;1;0.5;0
SwitchBlock;1;0.5;0
ButtonBlock;1;0.5;0
PressurePlateBlock;1;0.5;0
MotionDetectorBlock;1;0.5;0
PistonBlock;1;0.5;0
PistonHeadBlock;1;0.5;0
WireThroughPlanksBlock;1;0.5;0
WireThroughStoneBlock;1;0.5;0
WireThroughBricksBlock;1;0.5;0
WireThroughSemiconductorBlock;1;0.5;0
WireThroughCobblestoneBlock;1;0.5;0
LedBlock;1;0.5;0
FourLedBlock;1;0.5;0
SevenSegmentDisplayBlock;1;0.5;0
MulticoloredLedBlock;1;0.5;0
OneLedBlock;1;0.5;0
PhotodiodeBlock;1;0.5;0
TargetBlock;1;0.5;0
DetonatorBlock;1;0.5;0
